id,title,for,against,abstain,status,voted
article1#debate,Terminate Debate: New High School,166,50,0,Pass,29-April-2019
article1,ARTICLE 1 New High School:,208,10,4,Pass,29-April-2019
article3,ARTICLE 3 Appropriation / Future Zoning Bylaw Amendments:,192,20,1,Pass,29-April-2019
article5,ARTICLE 5 Appropriation / Residential Design Guidelines:,197,6,2,Pass,29-April-2019
article4,ARTICLE 4 Disposition of RE Parcel 133-1-8:,218,0,3,Pass,29-April-2019
